Id,Sales
1,5011.595446123017
857,5122.54430161244
1713,5252.912927754406
2569,5714.420588431673
4281,4933.836320281273
5137,4061.4965317403808
5993,3755.914285759236
6849,3866.863141248659
7705,3997.231767390625
8561,4458.739428067893
10273,4933.836320281273
11129,5378.374346219628
11985,5072.792100238483
12841,5183.740955727906
13697,5314.109581869872
14553,5775.6172425471395
16265,4995.0329743967395
17121,4122.693185855846
17977,3817.110939874702
18833,3928.059795364125
19689,4058.428421506091
20545,4519.936082183359
22257,4995.0329743967395
23113,5378.374346219628
23969,5072.792100238483
24825,5183.740955727906
25681,5314.109581869872
26537,5775.6172425471395
28249,4995.0329743967395
29105,4122.693185855846
29961,3817.110939874702
30817,3928.059795364125
31673,4058.428421506091
32529,4519.936082183359
34241,4995.0329743967395
35097,5378.374346219628
35953,5072.792100238483
36809,5183.740955727906
37665,5314.109581869872
38521,5775.6172425471395
40233,4995.0329743967395
2,8276.446447746463
858,8505.529636419044
1714,9009.833363911086
2570,9632.327472995436
4282,4467.984962406022
5138,5553.726806655954
5994,5216.506418586332
6850,5445.589607258912
7706,5949.8933347509565
8562,6572.387443835306
10274,4467.984962406022
11130,8613.666835816082
11986,8276.446447746463
12842,8505.529636419044
13698,9009.833363911086
14554,9632.327472995436
16266,4467.984962406022
17122,5553.726806655954
17978,5216.506418586332
18834,5445.589607258912
19690,5949.8933347509565
20546,6572.387443835306
22258,4467.984962406022
23114,8613.666835816082
23970,8276.446447746463
24826,8505.529636419044
25682,9009.833363911086
26538,9632.327472995436
28250,4467.984962406022
29106,5553.726806655954
29962,5216.506418586332
30818,5445.589607258912
31674,6129.040993799433
32530,6751.535102883781
34242,4467.984962406022
35098,8792.814494864559
35954,8455.594106794939
36810,8684.677295467518
37666,9188.981022959562
38522,9811.475132043912
40234,4467.984962406022
3,9430.556349953547
859,9365.441808591631
1715,10713.380494137453
2571,11638.608640845174
4283,6166.664179104471
5139,7658.646916846711
5995,6855.620043556067
6851,6790.505502194151
7707,8138.444187739971
8563,9063.672334447692
10275,6166.664179104471
11131,10233.583223244192
11987,9430.556349953547
12843,9365.441808591631
13699,10713.380494137453
14555,11638.608640845174
16267,6166.664179104471
17123,8919.915742920884
17979,8116.88886963024
18835,8051.774328268324
19691,9399.713013814146
20547,10324.941160521867
22259,6166.664179104471
23115,11494.852049318366
23971,10691.825176027722
24827,10626.710634665806
25683,11974.649320211625
26539,12899.877466919346
28251,6166.664179104471
29107,8919.915742920884
29963,8116.88886963024
30819,8051.774328268324
31675,9399.713013814146
32531,10324.941160521867
